playerId,playerName,position,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio
8481527,Kaedan Korczak,D,VGK,10,0.14285714285714288,-0.14962686336267078,0.0,0.0,0.4040820577345752,0.8039871818644193,0.0
8481528,Dylan Cozens,F,BUF,81,0.4337033935776923,-0.015972147735676644,0.021374416651576907,0.0039972145904627185,0.24182217792720215,0.34757355661839684,0.2347718942981591
8477435,Ryan Graves,D,NJD,78,0.2123277117608498,0.17269570323882882,0.0,0.0,0.7712611643120928,0.5149889594950063,0.19598359759839679
8481532,Alex Turcotte,F,LAK,4,0.0,-0.3333333333333333,0.0,0.08113501548819022,0.0,0.17445763018700947,0.3949367828681683
8481533,Trevor Zegras,F,ANA,81,0.4477458396009186,-0.13045887934897152,0.0,0.0034990456203267887,0.22757101818744777,0.32713336375618424,0.3056812153124517
8481535,Nils Hoglander,F,VAN,25,0.23119374827225733,-0.08510638297872339,0.0,0.016708756636788974,0.2070490806927407,0.4468085106382978,0.14546132726971878
8481537,Nikita Okhotiuk,D,NJD,10,0.07692307692307693,0.058823529411764705,0.0,0.0,0.4916253301205589,1.0093670835667092,0.125
8481540,Cole Caufield,F,MTL,46,0.4213179098593689,-0.09739515749287421,0.0,0.0,0.17062165258903247,0.23361954074187422,0.0336607356766542
8477444,Andre Burakovsky,F,SEA,49,0.42868362250141184,-0.0753328130168122,0.0,0.0,0.1984897299896209,0.20947344807047555,0.1680816411546915
8481542,Moritz Seider,D,DET,82,0.27989028653673165,-0.05601607576087922,0.01098901098901099,0.0,0.9567704274199624,0.8818821398140846,0.24814517762006003
8477447,Shea Theodore,D,VGK,55,0.4274638425394076,0.11763104335514606,0.0,0.0,0.7476094487261662,0.17327961343775414,0.17084491111447783
8477446,Michael McCarron,F,NSH,32,0.09393418752518262,-0.0459195387930316,0.0,0.011657766879682641,0.35929658912075585,1.0708250360319982,0.2821338836475857
8477500,Bo Horvat,F,"VAN,NYI",79,0.44448489262218055,-0.005683316602825762,0.04152802014765947,0.004579142970027612,0.36545275024066876,0.38572154797930974,0.12810090844748134
8481546,Cam York,D,PHI,54,0.23828456342384627,-0.008109109212542868,0.0,0.0,0.5868900984767447,0.4375419466299258,0.19098300562505258
8477451,Ryan Hartman,F,MIN,59,0.3569560164285865,0.0540666410562561,0.028703844222137623,0.004998383473463773,0.42575794642744463,0.5051582298516205,0.39215811549702795
8477450,Jason Dickinson,F,CHI,78,0.23104306018319015,-0.17157532289371985,0.0,0.004094850819543368,0.5033988442371788,0.6278756116811939,0.19598359759839676
8481541,Samuel Bolduc,D,NYI,17,0.12776428301528917,0.16129032258064516,0.0,0.0,0.4709960243657506,0.6970923689820766,0.07999999999999999
8477456,J.T. Compher,F,COL,82,0.33304509567350743,0.04551514645202452,0.0,0.0040144108813864095,0.48562030024338565,0.26802926937150323,0.18941290145423953
8481554,Kaapo Kakko,F,NYR,82,0.2959040739093088,0.06843920593535778,0.0,0.0028899415771420586,0.21350039181115477,0.20319405236775587,0.06818547338888037
8481557,Matt Boldy,F,MIN,81,0.4030725584195194,0.005802666968132236,0.0,0.00427709326925941,0.20837985604554504,0.43667306185042554,0.2291470156792331
8481559,Jack Hughes,F,NJD,78,0.6401072006120834,0.056870981849426794,0.0,0.0032179593899814432,0.21508197140940644,0.11030465271803438,0.05555555555555556
8481560,Arthur Kaliyev,F,LAK,56,0.30735503603575753,-0.04493491223815338,0.0,0.0,0.12172351687910261,0.3580586140794033,0.1323903957559243
8481563,Drew Helleson,D,ANA,3,0.22654091966098638,0.0,0.0,0.0,0.5505102572168219,0.45308183932197277,0.3431457505076198
8481567,Henry Thrun,D,SJS,8,0.15047207654837882,-0.16185023954379185,0.0,0.0,0.6318007205765767,0.3333333333333333,0.0
8479520,Brandon Duhaime,F,MIN,51,0.13581897080914543,0.06123113743690194,0.017220279179982173,0.004381686256375485,0.2222222222222223,1.0543365261372715,0.32714823635126106
8481568,Alex Vlasic,D,CHI,6,0.1214171620161358,-0.08062484748656973,0.0,0.0,0.6642147579731785,0.43916799490392566,0.0
8477476,Artturi Lehkonen,F,COL,64,0.4348483467219785,0.05142571854118802,0.01390100323997179,0.0021750329069226545,0.3709666348209889,0.6356349755195081,0.23949017423134975
8479525,Ross Colton,F,TBL,81,0.24063630434024894,-0.049658616386033486,0.0,0.004400602211127764,0.2172298660274804,0.9058903795302676,0.19238005094079455
8477478,William Carrier,F,VGK,56,0.27985596759261827,0.13107534057784526,0.0,0.0020928553760641037,0.23869900542609104,0.9912584027545263,0.24085446299252758
8477479,Tyler Bertuzzi,F,"DET,BOS",50,0.33810499613777495,-0.07747875768517597,0.0,0.003885647084403184,0.26870309445929513,0.5116845366671254,0.21884040021388837
8481577,Philip Tomasino,F,NSH,31,0.33991446513193596,0.0840398088070465,0.0,0.012307903215355227,0.3098387307498978,0.44555219571843074,0.12162909331369572
