assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
25,3,18,0,1,63,7,Krug,0,49,8476792,-26,32,0.50793,D,4,14,20222023,0,0,0.05555,L,126,Torey Krug,STL,1115.0158,40,87,0.6636363479481544,1.528926593428448,0.0,0.0,1.0301575072754257,0.719382171023788,3.3496952926784114,D,0.5079365079365079,-0.4126984126984127,0.0,1.380952380952381,0.6349206349206349,0.7777777777777778,0.0
3,0,3,0,0,9,0,Kesselring,0,6,8480891,-1,3,0.33333,D,0,0,20222023,0,0,0.0,R,8,Michael Kesselring,ARI,1025.6666,12,7,0.6666666666666667,1.0999438818457405,0.0,0.0,0.9162456945817024,1.4142135623730951,0.9428090415820635,D,0.3333333333333333,-0.1111111111111111,0.0,0.7777777777777778,1.3333333333333333,0.6666666666666666,0.0
4,14,17,0.5625,1,59,21,Marchenko,1,16,8480893,-23,25,0.42372,R,7,8,20222023,0,0,0.1603,R,131,Kirill Marchenko,CBJ,971.3559,34,39,0.7178921554083857,1.1934418130361995,0.0,0.30759380420042776,0.7726285640706088,0.7178921554083857,0.7774471146562522,F,0.423728813559322,-0.3898305084745763,0.0,0.6610169491525424,0.576271186440678,0.2711864406779661,0.009533898305084746
7,2,9,0,1,43,2,Carrier,1,27,8478851,0,9,0.2093,D,0,0,20222023,0,0,0.04166,R,48,Alexandre Carrier,NSH,1073.3023,57,67,0.46044162495868257,0.8352690695845568,0.0,0.0,1.4191764002225447,1.0722922682231166,1.1817066061313948,D,0.20930232558139536,0.0,0.0,1.558139534883721,1.3255813953488371,0.627906976744186,0.0
0,1,1,0,0,3,1,Steen,0,0,8479546,0,1,0.33333,C,0,0,20222023,0,0,0.2,R,5,Oskar Steen,BOS,549.3333,3,0,0.4714045207910317,0.816496580927726,0.0,0.0,0.0,0.0,0.0,F,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
29,15,34,0.21428,2,81,17,Garland,1,31,8478856,-5,46,0.5679,R,2,12,20222023,0,0,0.10179,R,167,Conor Garland,VAN,906.8271,47,20,0.7016430735003858,1.0697372356757764,0.0,0.19195853045588873,0.4851082149231729,0.814440617405957,1.940904086362453,F,0.5679012345679012,-0.06172839506172839,0.0,0.24691358024691357,0.5802469135802469,0.38271604938271603,0.002645432098765432
5,1,6,0,0,81,1,Mikkola,0,58,8478859,6,6,0.07407,D,0,0,20222023,0,0,0.01612,L,62,Niko Mikkola,"STL,NYR",1045.8765,151,106,0.2618914004394619,1.1306916683313883,0.0,0.0,1.3666393430750274,1.631125389127283,1.389862484548889,D,0.07407407407407407,0.07407407407407407,0.0,1.308641975308642,1.8641975308641976,0.7160493827160493,0.0
35,23,43,0.4,6,67,40,Kaprizov,2,45,8478864,4,75,1.1194,L,17,32,20222023,0,0,0.15325,L,261,Kirill Kaprizov,MIN,1266.7611,66,28,0.9064015791456104,1.303045766311471,0.0,0.17184284136864778,0.756055232353071,1.0437094768386324,2.0103319671026987,F,1.1194029850746268,0.05970149253731343,0.0,0.417910447761194,0.9850746268656716,0.6716417910447762,0.005970149253731343
8,3,10,0,0,51,5,Xhekaj,0,101,8482964,-9,13,0.2549,D,2,3,20222023,0,0,0.06666,L,75,Arber Xhekaj,MTL,916.2352,159,46,0.5180331299459964,0.9843059135695005,0.0,0.0,1.224823347979719,1.9468129694908094,3.006464903963129,D,0.2549019607843137,-0.17647058823529413,0.0,0.9019607843137255,3.1176470588235294,1.9803921568627452,0.0
3,1,4,0.59046,0,70,3,Glendening,0,50,8476822,-9,6,0.08571,C,0,0,20222023,2,2,0.04615,R,65,Luke Glendening,DAL,723.7428,114,60,0.3270149469217028,0.7914079419694023,0.1665986255670086,0.6067658688875212,0.9454509775871031,1.4848898811641469,3.2999690783956357,F,0.08571428571428572,-0.12857142857142856,0.02857142857142857,0.8571428571428571,1.6285714285714286,0.7142857142857143,0.008435142857142856
38,18,49,1.0,3,70,23,Terry,1,22,8478873,-8,61,0.87142,R,5,12,20222023,0,0,0.12234,R,188,Troy Terry,ANA,1162.0714,12,23,0.8605883132473734,1.2822174669895354,0.0,0.167209998724566,0.5534677322231574,0.41305235128002754,0.7278708115918284,F,0.8714285714285714,-0.11428571428571428,0.0,0.32857142857142857,0.17142857142857143,0.3142857142857143,0.014285714285714285
